imdbId,tvdbId,tmdbId
tt0896728,,986344
tt5485874,112797,393588
tt4007324,,407864
tt5246394,,435668
tt6172460,15503,439059
tt0070624,79705,143095
tt5478714,295253,503214
tt7158756,109504,518751
tt0316493,,286280
tt0021386,207933,315737
tt0154294,190272,347353
tt0214263,,354499
tt2127340,,114339
tt11598898,,656477
tt13660390,,800139
tt16279844,,992804
tt24654284,,1061668
tt0419818,,49316
tt0139670,,360171
tt1186652,274886,317349
tt1718769,,396566
tt0225445,,386677
tt1409737,,1265164
tt1798098,,943332
tt0048180,59818,310270
tt1841608,278879,361213
tt0203302,,257561
tt0058026,43184,127323
tt2093084,,81776
tt26886416,,1099991
tt6595908,,441965
tt0224211,,1536541
tt0006689,28093,53416
tt0272253,122025,144456
tt0096880,20485,44338
tt0035476,74716,146928
tt0130515,34425,44503
tt0000637,99730,144586
tt0036630,20824,84701
tt0080755,35544,47860
tt0430159,86143,48331
tt0034906,100922,236852
tt0270736,88536,195612
tt0424942,11218,17700
tt0055400,15359,42279
tt0001499,47979,191091
tt0000004,85296,16622
tt1844056,118207,89194
tt0004091,38746,53371
tt0000501,49080,458364
tt0326223,,192293
tt0000353,65180,190615
tt1809263,298952,535764
tt0391369,,116353
tt0225408,101495,108273
tt0223291,107009,190704
tt0309566,70334,116351
tt1352384,,353336
tt0365809,171425,464903
tt0001588,,176611
tt0065794,18574,44510
tt0490608,,1139427
tt1330219,19051,24328
tt1032745,,502352
tt0077388,,892300
tt0067626,231390,363557
tt0009613,,53639
tt0001166,,766488
tt0458472,104236,239552
tt0326852,,406361
tt0007956,49594,53662
tt0009764,121022,175071
tt5197834,,448609
tt0003152,,939123
tt0032496,63668,115795
tt0054946,82842,144690
tt0064581,231126,243336
tt2083264,178478,137652
tt0091865,39465,60375
tt0321686,,883810
tt0234373,247190,438823
tt0006013,,915779
tt0350203,,933221
tt1644738,,1102135
tt0021182,100793,48889
tt0000117,,190585
tt0282562,152987,162859
tt0001976,,935027
tt0425905,,933287
tt0219226,,917685
tt0956201,267154,297900
tt0001469,53428,193934
tt0223423,106906,196662
tt0000658,145047,196595
tt1168642,,183956
tt0343136,,941263
tt0109149,157056,160294
tt1345463,110302,112155
tt0441198,,941931
tt2788834,,1126169
tt0285587,94608,254888
tt0413778,260501,419842
tt0447139,,985486
tt0956177,,44501
tt5487228,,1371795
tt5901538,,434594
tt5688452,,434594
tt6990734,11350,461955
tt6598290,46169,484569
tt0132649,200488,283491
tt0026474,220723,193528
tt5554818,,586927
tt6137802,,379795
tt0057631,,693090
tt0260879,,370533
tt10368272,198124,596910
tt1542787,,1186241
tt15737520,,844424
tt8804172,,782195
tt0220296,,335217
tt11709372,,549850
tt12367810,,794799
tt15307228,,1028795
tt1850466,186180,358495
tt0024179,165136,166216
tt0304346,94516,123746
tt2298988,,850857
tt0343217,72050,46253
tt16117166,,1011623
tt0459380,73985,104294
tt26769174,,1177139
tt0249629,,190583
tt0000417,3066,775
tt0105224,161583,116152
tt0023669,55806,156412
tt0104285,30494,60316
tt0004395,57655,22941
tt0017836,31245,50897
tt0234914,117359,196512
tt0020708,29915,50828
tt0285225,58066,431230
tt0004210,68105,22892
tt0094847,59134,81424
tt0432109,62725,251153
tt0018860,74255,50898
tt0427617,212115,47054
tt0082922,,998156
tt0060834,,243294
tt0478988,133637,20981
tt0001083,53751,249817
tt0017664,37197,50859
tt0225797,,196592
tt0014419,102794,168194
tt0031953,47580,130204
tt0209518,,282382
tt1542599,14917,24884
tt0005198,55655,133213
tt0376821,80401,43681
tt0267049,110640,263860
tt0009144,53599,224205
tt0008212,49598,53725
tt0248291,125157,190763
tt0078198,61564,48697
tt0003455,,932826
tt0064334,95051,79838
tt0271391,,233633
tt0377941,,939150
tt0062131,195853,243307
tt2167404,41220,114411
tt0013853,,175743
