imdbId,tvdbId,tmdbId,tvmazeId
tt0095242,,17364,79105
tt0164112,298796,77957,
tt0937370,,17731,
tt0448257,,35405,
tt0344415,,16498,
tt2245988,265720,43899,1721
tt0470764,,21240,
tt0082390,251401,13896,
tt0280262,79088,16667,
tt0099980,,17236,
tt0437020,85504,8693,
tt0068875,,16492,
tt0144730,,13931,
tt0079840,,23259,44272
tt0086452,,48422,
tt1199382,,34707,
tt0072411,,17285,
tt1738340,,43864,32260
tt0381720,,31069,
tt0310412,228981,73662,
tt0115130,280076,24721,
tt0455281,,59857,
tt0220924,82457,19590,22526
tt0086809,,25066,50697
tt0162996,,31161,
tt0129713,280471,56522,
tt0067153,,54893,
tt3400010,282249,65646,19802
tt5162966,,78768,
tt1721323,291779,38735,33623
tt4074084,289260,62287,626
tt4546868,,77280,
tt0924167,276605,35937,
tt5181560,,70118,
tt0070037,,317182,
tt0058845,,78062,
tt9055494,,85509,
tt0087190,,47778,
tt0195193,,310862,
tt0263836,,53636,
tt0269588,,232273,
tt0239299,,42136,
tt0492448,,9373,
tt0413615,263876,16833,
tt0364146,82176,49191,20415
tt0069298,,18038,
